assembly_accession	taxid	organism_name	infraspecific_name	file_path
GCF_900016785.1	98804	Buchnera aphidicola (Tuberolachnus salignus)	strain=BTs	models/b/buchnera/Buchnera_aphidicola_Tuberolachnus_salignus_BTs.xml.gz
GCF_900128595.1	655384	Buchnera aphidicola (Cinara pseudotaxifoliae)	strain=BCipseudotaxifoliae	models/b/buchnera/Buchnera_aphidicola_Cinara_pseudotaxifoliae_BCipseudotaxifoliae.xml.gz
GCF_900128725.1	9	Buchnera aphidicola	strain=BCifornacula	models/b/buchnera/Buchnera_aphidicola_BCifornacula.xml.gz
GCF_900128735.1	1878935	Buchnera aphidicola (Cinara confinis)	strain=BCiconfinis	models/b/buchnera/Buchnera_aphidicola_Cinara_confinis_BCiconfinis.xml.gz
GCF_000218545.1	593907	Cellulomonas gilvus ATCC 13127	strain=ATCC 13127	models/c/cellulomonas/Cellulomonas_gilvus_ATCC_13127.xml.gz
GCF_000020965.1	309799	Dictyoglomus thermophilum H-6-12	strain=H-6-12; ATCC 35947	models/d/dictyoglomus/Dictyoglomus_thermophilum_H_6_12_H_6_12_ATCC_35947.xml.gz
GCF_000378225.1	1122236	Methylophilus methylotrophus DSM 46235 = ATCC 53528	strain=ATCC 53528	models/m/methylophilus/Methylophilus_methylotrophus_DSM_46235_ATCC_53528.xml.gz
GCF_000012885.1	338963	Pelobacter carbinolicus DSM 2380	strain=DSM 2380	models/p/pelobacter/Pelobacter_carbinolicus_DSM_2380.xml.gz
GCF_001375595.1	31967	Phenylobacterium immobile (ATCC 35973)	strain=(strain E)	models/p/phenylobacterium/Phenylobacterium_immobile_ATCC_35973_strain_E.xml.gz
GCF_000518705.1	1336240	Shewanella colwelliana ATCC 39565	strain=ATCC 39565	models/s/shewanella/Shewanella_colwelliana_ATCC_39565.xml.gz
GCF_000219105.1	483219	Myxococcus fulvus HW-1	strain=HW-1	models/m/myxococcus/Myxococcus_fulvus_HW_1.xml.gz
GCF_000012685.1	246197	Myxococcus xanthus DK 1622	strain=DK 1622	models/m/myxococcus/Myxococcus_xanthus_DK_1622.xml.gz
GCF_000165485.1	378806	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	models/s/stigmatella/Stigmatella_aurantiaca_DW4_3_1.xml.gz
GCF_000335475.2	1242864	Cystobacter fuscus DSM 2262	strain=DSM 2262	models/c/cystobacter/Cystobacter_fuscus_DSM_2262.xml.gz
GCF_001027285.1	48	Archangium gephyra	strain=DSM 2261	models/a/archangium/Archangium_gephyra_DSM_2261.xml.gz
GCF_000601485.1	1192034	Chondromyces apiculatus DSM 436	strain=DSM 436	models/c/chondromyces/Chondromyces_apiculatus_DSM_436.xml.gz
GCF_001189295.1	52	Chondromyces crocatus	strain=Cm c5	models/c/chondromyces/Chondromyces_crocatus_Cm_c5.xml.gz
GCF_000067165.1	448385	Sorangium cellulosum So ce56	strain=So ce 56	models/s/sorangium/Sorangium_cellulosum_So_ce56_So_ce_56.xml.gz
GCF_000382305.1	1123499	Vitreoscilla stercoraria DSM 513	strain=DSM 513	models/v/vitreoscilla/Vitreoscilla_stercoraria_DSM_513.xml.gz
GCF_002222655.1	63	Vitreoscilla filiformis	strain=ATCC 15551	models/v/vitreoscilla/Vitreoscilla_filiformis_ATCC_15551.xml.gz
GCF_001442515.1	69	Lysobacter enzymogenes	strain=C3	models/l/lysobacter/Lysobacter_enzymogenes_C3.xml.gz
GCF_000163775.2	641147	Simonsiella muelleri ATCC 29453	strain=ATCC 29453	models/s/simonsiella/Simonsiella_muelleri_ATCC_29453.xml.gz
GCF_000685215.1	1280952	Hyphomonas jannaschiana VP2	strain=VP2	models/h/hyphomonas/Hyphomonas_jannaschiana_VP2.xml.gz
GCF_000427405.1	929703	Flectobacillus major DSM 103	strain=DSM 103	models/f/flectobacillus/Flectobacillus_major_DSM_103.xml.gz
GCF_000222485.1	880070	Cyclobacterium marinum DSM 745	strain=DSM 745	models/c/cyclobacterium/Cyclobacterium_marinum_DSM_745.xml.gz
GCF_000218895.1	761193	Runella slithyformis DSM 19594	strain=DSM 19594	models/r/runella/Runella_slithyformis_DSM_19594.xml.gz
GCF_000171775.1	214688	Gemmata obscuriglobus UQM 2246	strain=UQM 2246	models/g/gemmata/Gemmata_obscuriglobus_UQM_2246.xml.gz
GCF_000165715.2	756272	Rubinisphaera brasiliensis DSM 5305	strain=DSM 5305	models/r/rubinisphaera/Rubinisphaera_brasiliensis_DSM_5305.xml.gz
GCF_000092105.1	521674	Planctopirus limnophila DSM 3776	strain=DSM 3776	models/p/planctopirus/Planctopirus_limnophila_DSM_3776.xml.gz
GCF_000181475.1	344747	Gimesia maris DSM 8797	strain=DSM 8797	models/g/gimesia/Gimesia_maris_DSM_8797.xml.gz
GCF_000153105.1	314230	Blastopirellula marina DSM 3645	strain=DSM 3645	models/b/blastopirellula/Blastopirellula_marina_DSM_3645.xml.gz
GCF_000025185.1	530564	Pirellula staleyi DSM 6068	strain=DSM 6068	models/p/pirellula/Pirellula_staleyi_DSM_6068.xml.gz
GCF_000186345.1	575540	Isosphaera pallida ATCC 43644	strain=ATCC 43644	models/i/isosphaera/Isosphaera_pallida_ATCC_43644.xml.gz
GCF_000283235.1	1134912	Methylocystis parvus OBBP	strain=OBBP	models/m/methylocystis/Methylocystis_parvus_OBBP.xml.gz
GCF_000008685.2	224326	Borrelia burgdorferi B31	strain=B31	models/b/borrelia/Borrelia_burgdorferi_B31.xml.gz
GCF_001660005.1	1867252	Borrelia hermsii HS1	strain=HS1	models/b/borrelia/Borrelia_hermsii_HS1.xml.gz
GCF_000012085.2	314724	Borrelia turicatae 91E135	strain=91E135	models/b/borrelia/Borrelia_turicatae_91E135.xml.gz
GCF_001936255.1	1365188	Borrelia anserina Es	strain=Es	models/b/borrelia/Borrelia_anserina_Es.xml.gz
GCF_000568755.1	1313292	Borrelia coriaceae Co53	strain=Co53	models/b/borrelia/Borrelia_coriaceae_Co53.xml.gz
GCF_000184345.1	869211	Spirochaeta thermophila DSM 6578	strain=DSM 6578	models/s/spirochaeta/Spirochaeta_thermophila_DSM_6578.xml.gz
GCF_000008185.1	243275	Treponema denticola ATCC 35405	strain=ATCC 35405	models/t/treponema/Treponema_denticola_ATCC_35405.xml.gz
GCF_001676785.2	1266923	Brachyspira hyodysenteriae ATCC 27164	strain=B-78	models/b/brachyspira/Brachyspira_hyodysenteriae_ATCC_27164_B_78.xml.gz
GCF_000604125.1	1095955	Treponema pallidum subsp. pallidum str. Sea 81-4	strain=Sea 81-4	models/t/treponema/Treponema_pallidum_subsp_pallidum_str_Sea_81_4.xml.gz
GCF_000513775.1	1306407	Treponema phagedenis 4A	strain=4A	models/t/treponema/Treponema_phagedenis_4A.xml.gz
GCF_000421345.1	877418	Treponema bryantii NK4A124	strain=NK4A124	models/t/treponema/Treponema_bryantii_NK4A124.xml.gz
GCF_000255555.1	907348	Treponema saccharophilum DSM 2985	strain=DSM 2985	models/t/treponema/Treponema_saccharophilum_DSM_2985.xml.gz
GCF_000195275.1	869209	Treponema succinifaciens DSM 2489	strain=DSM 2489	models/t/treponema/Treponema_succinifaciens_DSM_2489.xml.gz
GCF_000017685.1	456481	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	strain=Patoc 1 (Paris)	models/l/leptospira/Leptospira_biflexa_serovar_Patoc_strain_Patoc_1_Paris.xml.gz
GCF_000092565.1	189518	Leptospira interrogans serovar Lai str. 56601	strain=56601	models/l/leptospira/Leptospira_interrogans_serovar_Lai_str_56601.xml.gz
GCF_000013945.1	355276	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	strain=L550	models/l/leptospira/Leptospira_borgpetersenii_serovar_Hardjo_bovis_str_L550.xml.gz
GCF_000284315.1	1162668	Leptospirillum ferrooxidans C2-3	strain=C2-3	models/l/leptospirillum/Leptospirillum_ferrooxidans_C2_3.xml.gz
GCF_000243335.1	929563	Leptonema illini DSM 21528	strain=DSM 21528	models/l/leptonema/Leptonema_illini_DSM_21528.xml.gz
GCF_000381985.1	1279038	Novispirillum itersonii subsp. itersonii ATCC 12639	strain=ATCC 12639	models/n/novispirillum/Novispirillum_itersonii_subsp_itersonii_ATCC_12639.xml.gz
GCF_000420525.1	1121004	Aquaspirillum serpens DSM 68	strain=DSM 68	models/a/aquaspirillum/Aquaspirillum_serpens_DSM_68.xml.gz
GCF_001315015.1	192	Azospirillum brasilense	strain=Sp 7	models/a/azospirillum/Azospirillum_brasilense_Sp_7.xml.gz
GCF_900177475.1	193	Azospirillum lipoferum	strain=R1C	models/a/azospirillum/Azospirillum_lipoferum_R1C.xml.gz
GCF_002024185.1	195	Campylobacter coli	strain=aerotolerant OR12	models/c/campylobacter/Campylobacter_coli_aerotolerant_OR12.xml.gz
GCF_000495505.1	1244528	Campylobacter fetus subsp. testudinum 03-427	strain=03-427	models/c/campylobacter/Campylobacter_fetus_subsp_testudinum_03_427.xml.gz
GCF_900065885.1	32019	Campylobacter fetus subsp. fetus	strain=RC11	models/c/campylobacter/Campylobacter_fetus_subsp_fetus_RC11.xml.gz
GCF_000009085.1	192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168	models/c/campylobacter/Campylobacter_jejuni_subsp_jejuni_NCTC_11168_ATCC_700819.xml.gz
GCF_002179165.1	197	Campylobacter jejuni	strain=isolate_W1	models/c/campylobacter/Campylobacter_jejuni_isolate_W1.xml.gz
GCF_001643955.1	1031746	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	strain=LMG 9260	models/c/campylobacter/Campylobacter_hyointestinalis_subsp_hyointestinalis_LMG_9260.xml.gz
GCF_001643975.1	91353	Campylobacter hyointestinalis subsp. lawsonii	strain=LMG 15993	models/c/campylobacter/Campylobacter_hyointestinalis_subsp_lawsonii_LMG_15993.xml.gz
GCF_001298465.1	199	Campylobacter concisus	strain=ATCC 33237	models/c/campylobacter/Campylobacter_concisus_ATCC_33237.xml.gz
GCF_000017465.2	360105	Campylobacter curvus 525.92	strain=525.92	models/c/campylobacter/Campylobacter_curvus_525_92.xml.gz
GCF_000019205.1	306263	Campylobacter lari RM2100	strain=RM2100; ATCC BAA-1060D	models/c/campylobacter/Campylobacter_lari_RM2100_RM2100_ATCC_BAA_1060D.xml.gz
GCF_000705255.1	202	Campylobacter mucosalis	strain=DSM 21682	models/c/campylobacter/Campylobacter_mucosalis_DSM_21682.xml.gz
GCF_000313615.1	1244083	Campylobacter showae CSUNSWCD	strain=CSUNSWCD	models/c/campylobacter/Campylobacter_showae_CSUNSWCD.xml.gz
GCF_002220735.1	1031920	Campylobacter sputorum bv. faecalis CCUG 20703	strain=CCUG 20703	models/c/campylobacter/Campylobacter_sputorum_bv_faecalis_CCUG_20703.xml.gz
GCF_000008525.1	85962	Helicobacter pylori 26695	strain=26695	models/h/helicobacter/Helicobacter_pylori_26695.xml.gz
GCF_000349975.1	537971	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	strain=ATCC BAA-847	models/h/helicobacter/Helicobacter_cinaedi_CCUG_18818_ATCC_BAA_847.xml.gz
GCF_000200595.1	936155	Helicobacter felis ATCC 49179	strain=ATCC 49179	models/h/helicobacter/Helicobacter_felis_ATCC_49179.xml.gz
GCF_000509365.1	1325130	Helicobacter fennelliae MRY12-0050	strain=MRY12-0050	models/h/helicobacter/Helicobacter_fennelliae_MRY12_0050.xml.gz
GCF_000765805.1	216	Helicobacter muridarum	strain=ST1	models/h/helicobacter/Helicobacter_muridarum_ST1.xml.gz
GCF_000091985.1	679897	Helicobacter mustelae 12198	strain=12198	models/h/helicobacter/Helicobacter_mustelae_12198.xml.gz
GCF_900176575.1	244	Planomicrobium okeanokoites	strain=Marseille-P2029	models/p/planomicrobium/Planomicrobium_okeanokoites_Marseille_P2029.xml.gz
GCF_000757385.1	1453498	Flavobacterium aquatile LMG 4008	strain=LMG 4008	models/f/flavobacterium/Flavobacterium_aquatile_LMG_4008.xml.gz
GCF_000382425.1	1218108	Empedobacter brevis NBRC 14943 = ATCC 43319	strain=ATCC 43319	models/e/empedobacter/Empedobacter_brevis_NBRC_14943_ATCC_43319.xml.gz
GCF_000425585.1	1123356	Terrimonas ferruginea DSM 30193	strain=DSM 30193	models/t/terrimonas/Terrimonas_ferruginea_DSM_30193.xml.gz
GCF_000355905.1	1189619	Psychroflexus gondwanensis ACAM 44	strain=ACAM 44	models/p/psychroflexus/Psychroflexus_gondwanensis_ACAM_44.xml.gz
GCF_001295265.1	253	Chryseobacterium indologenes	strain=CI_885	models/c/chryseobacterium/Chryseobacterium_indologenes_CI_885.xml.gz
GCF_002025665.1	253	Chryseobacterium indologenes	strain=AA5	models/c/chryseobacterium/Chryseobacterium_indologenes_AA5.xml.gz
GCF_000243275.1	929704	Myroides odoratus DSM 2801	strain=DSM 2801	models/m/myroides/Myroides_odoratus_DSM_2801.xml.gz
GCF_000143765.1	525373	Sphingobacterium spiritivorum ATCC 33861	strain=ATCC 33861	models/s/sphingobacterium/Sphingobacterium_spiritivorum_ATCC_33861.xml.gz
GCF_000686625.1	1123265	Sphingobacterium thalpophilum DSM 11723	strain=DSM 11723	models/s/sphingobacterium/Sphingobacterium_thalpophilum_DSM_11723.xml.gz
GCF_000008985.1	177416	Francisella tularensis subsp. tularensis SCHU S4	strain=SCHU S4	models/f/francisella/Francisella_tularensis_subsp_tularensis_SCHU_S4.xml.gz
GCF_000203895.1	318586	Paracoccus denitrificans PD1222	strain=PD1222	models/p/paracoccus/Paracoccus_denitrificans_PD1222.xml.gz
GCF_001399775.1	498848	Thermus aquaticus Y51MC23	strain=Y51MC23	models/t/thermus/Thermus_aquaticus_Y51MC23.xml.gz
GCF_000091545.1	300852	Thermus thermophilus HB8	strain=HB8	models/t/thermus/Thermus_thermophilus_HB8.xml.gz
GCF_000771745.2	276	Thermus filiformis	strain=ATCC 43280	models/t/thermus/Thermus_filiformis_ATCC_43280.xml.gz
GCF_000024425.1	504728	Meiothermus ruber DSM 1279		models/m/meiothermus/Meiothermus_ruber_DSM_1279.xml.gz
GCF_000017645.1	78245	Xanthobacter autotrophicus Py2	strain=Py2	models/x/xanthobacter/Xanthobacter_autotrophicus_Py2.xml.gz
GCF_000739375.1	1392005	Comamonas testosteroni TK102	strain=TK102	models/c/comamonas/Comamonas_testosteroni_TK102.xml.gz
GCF_000006765.1	208964	Pseudomonas aeruginosa PAO1	strain=PAO1	models/p/pseudomonas/Pseudomonas_aeruginosa_PAO1.xml.gz
GCF_000014225.1	342610	Pseudoalteromonas atlantica T6c	strain=T6c	models/p/pseudoalteromonas/Pseudoalteromonas_atlantica_T6c.xml.gz
GCF_001411495.1	983594	Burkholderia cepacia ATCC 25416	strain=UCB 717	models/b/burkholderia/Burkholderia_cepacia_ATCC_25416_UCB_717.xml.gz
GCF_000237065.1	1114970	Pseudomonas fluorescens F113	strain=F113	models/p/pseudomonas/Pseudomonas_fluorescens_F113.xml.gz
GCF_000016565.1	399739	Pseudomonas mendocina ymp	strain=ymp	models/p/pseudomonas/Pseudomonas_mendocina_ymp.xml.gz
GCF_000007565.2	160488	Pseudomonas putida KT2440	strain=KT2440	models/p/pseudomonas/Pseudomonas_putida_KT2440.xml.gz
GCF_000800615.1	303	Pseudomonas putida	strain=PA14H7	models/p/pseudomonas/Pseudomonas_putida_PA14H7.xml.gz
GCF_000009125.1	267608	Ralstonia solanacearum GMI1000	strain=GMI1000	models/r/ralstonia/Ralstonia_solanacearum_GMI1000.xml.gz
GCF_000219605.1	316	Pseudomonas stutzeri	strain=CGMCC 1.1803	models/p/pseudomonas/Pseudomonas_stutzeri_CGMCC_1_1803.xml.gz
GCF_000590475.1	316	Pseudomonas stutzeri	strain=28a24	models/p/pseudomonas/Pseudomonas_stutzeri_28a24.xml.gz
GCF_000012245.1	205918	Pseudomonas syringae pv. syringae B728a	strain=B728a	models/p/pseudomonas/Pseudomonas_syringae_pv_syringae_B728a.xml.gz
GCF_000020205.1	402626	Ralstonia pickettii 12J	strain=12J	models/r/ralstonia/Ralstonia_pickettii_12J.xml.gz
GCF_000007145.1	190485	Xanthomonas campestris pv. campestris str. ATCC 33913	strain=ATCC 33913	models/x/xanthomonas/Xanthomonas_campestris_pv_campestris_str_ATCC_33913.xml.gz
GCF_001021935.1	487909	Xanthomonas translucens pv. undulosa	strain=Xtu 4699	models/x/xanthomonas/Xanthomonas_translucens_pv_undulosa_Xtu_4699.xml.gz
GCF_002218245.1	473426	Xanthomonas citri pv. vignicola	strain=CFBP7111	models/x/xanthomonas/Xanthomonas_citri_pv_vignicola_CFBP7111.xml.gz
GCF_000019585.2	360094	Xanthomonas oryzae pv. oryzae PXO99A	strain=PXO99A	models/x/xanthomonas/Xanthomonas_oryzae_pv_oryzae_PXO99A.xml.gz
GCF_000817975.1	1328314	Azotobacter chroococcum NCIMB 8003	strain=NCIMB 8003	models/a/azotobacter/Azotobacter_chroococcum_NCIMB_8003.xml.gz
GCF_000380335.1	1283330	Azotobacter vinelandii CA	strain=CA	models/a/azotobacter/Azotobacter_vinelandii_CA.xml.gz
GCF_000696095.1	1220581	Rhizobium rhizogenes NBRC 13257	strain=NBRC 13257	models/r/rhizobium/Rhizobium_rhizogenes_NBRC_13257.xml.gz
GCF_000745735.1	359	Agrobacterium rhizogenes	strain=OK036	models/a/agrobacterium/Agrobacterium_rhizogenes_OK036.xml.gz
GCF_000016285.1	311402	Agrobacterium vitis S4	strain=S4	models/a/agrobacterium/Agrobacterium_vitis_S4.xml.gz
GCF_000284375.1	1037409	Bradyrhizobium japonicum USDA 6	strain=USDA 6	models/b/bradyrhizobium/Bradyrhizobium_japonicum_USDA_6.xml.gz
GCF_000018545.1	394	Sinorhizobium fredii NGR234	strain=NGR234	models/s/sinorhizobium/Sinorhizobium_fredii_NGR234.xml.gz
GCF_000283895.1	1117943	Sinorhizobium fredii HH103	strain=HH103	models/s/sinorhizobium/Sinorhizobium_fredii_HH103.xml.gz
GCF_000006965.1	266834	Sinorhizobium meliloti 1021	strain=1021	models/s/sinorhizobium/Sinorhizobium_meliloti_1021.xml.gz
GCF_000021345.1	395492	Rhizobium leguminosarum bv. trifolii WSM2304	strain=WSM2304	models/r/rhizobium/Rhizobium_leguminosarum_bv_trifolii_WSM2304.xml.gz
GCF_000517605.1	754523	Rhizobium leguminosarum bv. trifolii WSM1689	strain=WSM1689	models/r/rhizobium/Rhizobium_leguminosarum_bv_trifolii_WSM1689.xml.gz
GCF_000745655.1	384	Rhizobium leguminosarum	strain=OV483	models/r/rhizobium/Rhizobium_leguminosarum_OV483.xml.gz
GCF_000330885.1	698761	Rhizobium tropici CIAT 899	strain=CIAT 899	models/r/rhizobium/Rhizobium_tropici_CIAT_899.xml.gz
GCF_000731315.1	1028800	Neorhizobium galegae bv. orientalis str. HAMBI 540	strain=HAMBI 540	models/n/neorhizobium/Neorhizobium_galegae_bv_orientalis_str_HAMBI_540.xml.gz
GCF_000617925.1	1236959	Methylobacillus glycogenes JCM 2850	strain=JCM 2850	models/m/methylobacillus/Methylobacillus_glycogenes_JCM_2850.xml.gz
GCF_000008325.1	243233	Methylococcus capsulatus str. Bath	strain=Bath	models/m/methylococcus/Methylococcus_capsulatus_str_Bath.xml.gz
GCF_000427625.1	1095552	Methylobacter luteus IMV-B-3098	strain=IMV-B-3098	models/m/methylobacter/Methylobacter_luteus_IMV_B_3098.xml.gz
GCF_000214665.1	857087	Methylomonas methanica MC09	strain=MC09	models/m/methylomonas/Methylomonas_methanica_MC09.xml.gz
GCF_000178815.2	595536	Methylosinus trichosporium OB3b	strain=OB3b	models/m/methylosinus/Methylosinus_trichosporium_OB3b.xml.gz
GCF_002005445.1	435	Acetobacter aceti	strain=TMW2.1153	models/a/acetobacter/Acetobacter_aceti_TMW2_1153.xml.gz
GCF_000164395.1	714995	Komagataeibacter hansenii ATCC 23769	strain=ATCC 23769	models/k/komagataeibacter/Komagataeibacter_hansenii_ATCC_23769.xml.gz
GCF_000617865.1	1231351	Acidomonas methanolica NBRC 104435	strain=MB58	models/a/acidomonas/Acidomonas_methanolica_NBRC_104435_MB58.xml.gz
GCF_001766235.1	481146	Acetobacter pasteurianus subsp. ascendens	strain=LMG 1590	models/a/acetobacter/Acetobacter_pasteurianus_subsp_ascendens_LMG_1590.xml.gz
GCF_000011685.1	290633	Gluconobacter oxydans 621H	strain=621H	models/g/gluconobacter/Gluconobacter_oxydans_621H.xml.gz
GCF_000311765.1	1224746	Gluconobacter oxydans H24	strain=H24	models/g/gluconobacter/Gluconobacter_oxydans_H24.xml.gz
GCF_000008485.1	272624	Legionella pneumophila subsp. pneumophila str. Philadelphia 1	strain=Philadelphia 1	models/l/legionella/Legionella_pneumophila_subsp_pneumophila_str_Philadelphia_1.xml.gz
GCF_000953655.1	449	Legionella hackeliae	strain=ATCC 35250	models/l/legionella/Legionella_hackeliae_ATCC_35250.xml.gz
GCF_000091785.1	661367	Legionella longbeachae NSW150	strain=NSW150	models/l/legionella/Legionella_longbeachae_NSW150.xml.gz
GCF_000953635.1	451	Tatlockia micdadei	strain=ATCC 33218	models/t/tatlockia/Tatlockia_micdadei_ATCC_33218.xml.gz
GCF_001468165.1	452	Legionella spiritensis	strain=Mt.St.Helens-9	models/l/legionella/Legionella_spiritensis_Mt_St_Helens_9.xml.gz
GCF_001467625.1	453	Legionella feeleii	strain=WO-44C	models/l/legionella/Legionella_feeleii_WO_44C.xml.gz
GCF_001467785.1	454	Legionella israelensis	strain=Bercovier 4	models/l/legionella/Legionella_israelensis_Bercovier_4.xml.gz
GCF_001467765.1	456	Legionella jordanis	strain=BL-540	models/l/legionella/Legionella_jordanis_BL_540.xml.gz
GCF_001468125.1	458	Legionella rubrilucens	strain=WA-270A-C2	models/l/legionella/Legionella_rubrilucens_WA_270A_C2.xml.gz
GCF_000236165.1	1094715	Fluoribacter dumoffii NY 23	strain=NY 23	models/f/fluoribacter/Fluoribacter_dumoffii_NY_23.xml.gz
GCF_900167045.1	466	Legionella maceachernii	strain=ATCC 35300	models/l/legionella/Legionella_maceachernii_ATCC_35300.xml.gz
GCF_000746645.1	470	Acinetobacter baumannii	strain=AB030	models/a/acinetobacter/Acinetobacter_baumannii_AB030.xml.gz
GCF_001679005.1	478	Moraxella nonliquefaciens	strain=CCUG 348	models/m/moraxella/Moraxella_nonliquefaciens_CCUG_348.xml.gz
GCF_000092265.1	1236608	Moraxella catarrhalis BBH18	strain=BBH18	models/m/moraxella/Moraxella_catarrhalis_BBH18.xml.gz
GCF_000006845.1	242231	Neisseria gonorrhoeae FA 1090	strain=FA 1090	models/n/neisseria/Neisseria_gonorrhoeae_FA_1090.xml.gz
GCF_000196295.1	489653	Neisseria lactamica 020-06	strain=020-06	models/n/neisseria/Neisseria_lactamica_020_06.xml.gz
GCF_000008805.1	122586	Neisseria meningitidis MC58	strain=MC58	models/n/neisseria/Neisseria_meningitidis_MC58.xml.gz
GCF_000186165.1	435832	Neisseria mucosa C102	strain=C102	models/n/neisseria/Neisseria_mucosa_C102.xml.gz
GCF_002073715.1	490	Neisseria sicca	strain=FDAARGOS_260	models/n/neisseria/Neisseria_sicca_FDAARGOS_260.xml.gz
GCF_002108495.1	493	Neisseria canis	strain=ATCC 14687	models/n/neisseria/Neisseria_canis_ATCC_14687.xml.gz
GCF_001592185.1	1349758	Bergeriella denitrificans NBRC 102155	strain=NBRC 102155	models/b/bergeriella/Bergeriella_denitrificans_NBRC_102155.xml.gz
GCF_000818035.1	546263	Neisseria elongata subsp. glycolytica ATCC 29315	strain=ATCC 29315	models/n/neisseria/Neisseria_elongata_subsp_glycolytica_ATCC_29315.xml.gz
GCF_000021685.1	309801	Thermomicrobium roseum DSM 5159	strain=DSM 5159	models/t/thermomicrobium/Thermomicrobium_roseum_DSM_5159.xml.gz
GCF_000190695.1	888741	Kingella denitrificans ATCC 33394	strain=ATCC 33394	models/k/kingella/Kingella_denitrificans_ATCC_33394.xml.gz
GCF_000470375.1	1305785	Kingella kingae Vir5453	strain=Vir5453	models/k/kingella/Kingella_kingae_Vir5453.xml.gz
GCF_000160435.1	629741	Kingella oralis ATCC 51147	strain=ATCC 51147	models/k/kingella/Kingella_oralis_ATCC_51147.xml.gz
GCF_000967305.2	511	Alcaligenes faecalis	strain=ZD02	models/a/alcaligenes/Alcaligenes_faecalis_ZD02.xml.gz
GCF_000318015.1	568707	Bordetella bronchiseptica 253	strain=253	models/b/bordetella/Bordetella_bronchiseptica_253.xml.gz
GCF_000317935.1	1208660	Bordetella parapertussis Bpp5	strain=Bpp5	models/b/bordetella/Bordetella_parapertussis_Bpp5.xml.gz
GCF_000195715.1	257313	Bordetella pertussis Tohama I	strain=Tohama I	models/b/bordetella/Bordetella_pertussis_Tohama_I.xml.gz
GCF_000070465.1	360910	Bordetella avium 197N	strain=197N	models/b/bordetella/Bordetella_avium_197N.xml.gz
GCF_000701585.1	1408418	Acidiphilium angustum ATCC 35903	strain=ATCC 35903	models/a/acidiphilium/Acidiphilium_angustum_ATCC_35903.xml.gz
GCF_000687875.1	1408419	Acidocella facilis ATCC 35904	strain=ATCC 35904	models/a/acidocella/Acidocella_facilis_ATCC_35904.xml.gz
GCF_000017405.1	439375	Ochrobactrum anthropi ATCC 49188	strain=ATCC 49188	models/o/ochrobactrum/Ochrobactrum_anthropi_ATCC_49188.xml.gz
GCF_000153225.1	313594	Polaribacter irgensii 23-P	strain=23-P	models/p/polaribacter/Polaribacter_irgensii_23_P.xml.gz
GCF_000019845.1	395963	Beijerinckia indica subsp. indica ATCC 9039	strain=ATCC 9039	models/b/beijerinckia/Beijerinckia_indica_subsp_indica_ATCC_9039.xml.gz
